24475,5059032012,Teresa H.,hearnt2538@gmail.com,0
12458,555-0123,Sarah Mitchell,sarah.mitchell@email.com,45
67823,555-0156,John Davis,john.davis@email.com,28
34521,555-0189,Mary Johnson,mary.j@email.com,62
89456,555-0134,Robert Brown,rbrown@email.com,15
45612,555-0167,Jennifer Wilson,jen.wilson@email.com,38
78234,555-0198,David Anderson,d.anderson@email.com,0
23456,555-0145,Lisa Thompson,lisa.t@email.com,51
91234,555-0178,Michael Garcia,mgarcia@email.com,22
56789,555-0112,Emily Martinez,emily.m@email.com,9
34567,555-0190,Christopher Lee,chris.lee@email.com,34
12389,555-0167,Amanda White,amanda.white@email.com,17
65432,555-0134,Daniel Harris,dharris@email.com,42
78912,555-0189,Jessica Clark,jclark@email.com,29
45678,555-0156,Matthew Lewis,matt.lewis@email.com,0
23145,555-0123,Ashley Walker,awalker@email.com,56
